e,E,s,k
kline,1703897027787,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030079, 'o': '313.980', 'c': '314.090', 'h': '314.160', 'l': '313.950', 'v': '475.35', 'n': 395, 'x': False, 'q': '149283.90350', 'V': '208.38', 'Q': '65444.07920', 'B': '0'}"
kline,1703897028091,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098176, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '21.570', 'n': 380, 'x': False, 'q': '909753.25290', 'V': '6.942', 'Q': '292780.84830', 'B': '0'}"
kline,1703897028264,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189509, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '314.313', 'n': 427, 'x': False, 'q': '724302.94399', 'V': '159.962', 'Q': '368604.19165', 'B': '0'}"
kline,1703897028908,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098180, 'o': '42181.40', 'c': '42175.70', 'h': '42181.40', 'l': '42171.70', 'v': '21.739', 'n': 384, 'x': False, 'q': '916880.93320', 'V': '6.981', 'Q': '294425.70060', 'B': '0'}"
kline,1703897028926,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189512, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '314.999', 'n': 430, 'x': False, 'q': '725883.67957', 'V': '160.598', 'Q': '370069.71373', 'B': '0'}"
kline,1703897029230,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098183, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '21.755', 'n': 387, 'x': False, 'q': '917555.74340', 'V': '6.987', 'Q': '294678.75480', 'B': '0'}"
kline,1703897029485,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189513, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '319.314', 'n': 431, 'x': False, 'q': '735826.64777', 'V': '164.913', 'Q': '380012.68193', 'B': '0'}"
kline,1703897030126,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098185, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '21.761', 'n': 389, 'x': False, 'q': '917808.79730', 'V': '6.990', 'Q': '294805.28190', 'B': '0'}"
kline,1703897030169,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189515, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '319.781', 'n': 433, 'x': False, 'q': '736902.74186', 'V': '164.913', 'Q': '380012.68193', 'B': '0'}"
kline,1703897031110,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189517, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '319.970', 'n': 435, 'x': False, 'q': '737338.24889', 'V': '164.913', 'Q': '380012.68193', 'B': '0'}"
kline,1703897031182,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098217, 'o': '42181.40', 'c': '42175.70', 'h': '42181.40', 'l': '42171.70', 'v': '25.623', 'n': 421, 'x': False, 'q': '1080690.96560', 'V': '7.001', 'Q': '295269.21460', 'B': '0'}"
kline,1703897031603,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098218, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '25.666', 'n': 422, 'x': False, 'q': '1082504.51640', 'V': '7.001', 'Q': '295269.21460', 'B': '0'}"
kline,1703897031657,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189520, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '320.559', 'n': 438, 'x': False, 'q': '738695.46435', 'V': '164.956', 'Q': '380111.76597', 'B': '0'}"
kline,1703897032068,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098225, 'o': '42181.40', 'c': '42175.70', 'h': '42181.40', 'l': '42171.70', 'v': '25.899', 'n': 429, 'x': False, 'q': '1092331.44540', 'V': '7.143', 'Q': '301258.16400', 'B': '0'}"
